NO,ID,MESSAGE,COMMENT,END
130,8020,[%1%]属性に「%2%」が指定されていない時に、[%3%]属性に%4%以外のものが設定されていました。これはエラーです。\n\n[%1%]属性に「%2%」が指定されていない場合は、[%3%]属性は%4%のいずれかにしなければなりません。\n\n%5%,%1%…属性名accessが入る。%2%…属性値toが入る。%3%…属性名memoryが入る。%4%…属性値が入る。%5%…設定位置パンくずリストが入る。,END
131,8021,[%1%]属性の値[%2%]はエラーです。\n\n%3%のいずれかを指定してください。\n\n%4%,%1%…属性名memoryが入る。%2%…属性名memoryの値が入る。%3%…属性値が入る。%4%…設定位置パンくずリストが入る。,END
132,8022,[%1%]属性の値[%2%]はエラーです。access指定値全文=[%3%]\n\n%4%のいずれかを指定してください。\n\n%5%,%1%…属性名accessが入る。%2%…access属性の値が入る。%3%…access指定値全文が入る。%4%…属性値が入る。%5%…設定位置パンくずリストが入る。,END
133,8023,<event>要素には、[%1%]子要素は未対応です。\n\n%2%%3%,%1%…ノード名が入る。%2%…設定位置パンくずリストが入る。%3%…例外メッセージが入る。,END
134,8024,予想だにしないエラー。\n\n%1%%2%,%1%…設定位置パンくずリストが入る。%2%…例外メッセージが入る。,END
135,8025,<key-event>要素には、[%1%]子要素は未対応です。\n\n%2%,%1%…ノード名が入る。%2%…設定位置パンくずリストが入る。,END
136,8026,同じin属性値を持つ<%1%>要素がありました。[%2%]属性値は重複してはいけません。\nトゥゲザーのin属性=[%3%]\n%4%,%1%…ノード名が入る。%2%…引数名が入る。%3%…in属性値が入る。%4%…設定位置パンくずリストが入る。,END
137,8027,同名の<%1%>要素がありました。名前は重複してはいけません。\nトゥゲザー名=[%2%]\n%3%,%1%…ノード名が入る。%2%…指定したtogether名が入る。%3%…設定位置パンくずリストが入る。,END
138,8028,同名の[%1%]属性を持つ＜%2%＞要素がありました。[%1%]属性は重複してはいけません。\n%3%,%1%…属性名onが入る。%2%…ノード名トゥゲザーが入る。%3%…設定位置パンくずリストが入る。,END
139,8029,<%1%>要素に、属性[%2%]のどちらもありませんでした。どちらかが必要です。\n%3%,%1%…ノード名が入る。%2%…属性名リストが入る。%3%…設定位置パンくずリストが入る。,END
140,8030,<%1%>要素に、<%2%>要素以外の要素[%3%]が含まれていました。\n\n%4%,%1%…ノード名が入る。%2%…期待する子ノード名が入る。%3%…実際の子ノード名が入る。%4%…設定位置パンくずリストが入る。,END
